NAME	NES_6H	FDR_6H	NES_24H	FDR_24H	NES_48H	FDR_48H	NES_96H	FDR_96H
GOBP_DENSE_CORE_GRANULE_LOCALIZATION	1.4779676	0.4596417	0.8930752	0.9114144	0.9715001	0.8013348	1.3094317	0.23976861
GOBP_POSITIVE_REGULATION_OF_ALPHA_BETA_T_CELL_ACTIVATION	1.4772811	0.46102712	1.7074183	0.22765642	1.793399	0.051406607	2.0017257	0.0010882091
GOBP_POSITIVE_REGULATION_OF_FEEDING_BEHAVIOR	1.4770921	0.46061367	1.4947563	0.42916882	1.458908	0.26273653	1.1775062	0.36686537
GOBP_MYELOID_LEUKOCYTE_MEDIATED_IMMUNITY	1.4769002	0.46021515	1.419879	0.47201476	1.3202269	0.3976194	1.3481851	0.20793763
GOBP_REGULATION_OF_GLUCOSE_IMPORT	1.475027	0.46597606	0.89100015	0.9123547	0.74959946	0.9540642	1.350888	0.2053963
GOBP_CELLULAR_RESPONSE_TO_ACIDIC_PH	1.4749103	0.465297	1.5834755	0.3377018	1.4943476	0.22758165	1.4746581	0.11657358
GOBP_NEGATIVE_REGULATION_OF_T_HELPER_2_CELL_DIFFERENTIATION	1.4747974	0.46459758	1.3584067	0.5149932	1.4179431	0.3102831	1.4238902	0.14805166
GOBP_REGULATION_OF_CARTILAGE_DEVELOPMENT	1.4739405	0.4666408	1.5268002	0.3849309	1.7291384	0.07863055	2.1864624	7.305612e-05
GOBP_POSITIVE_REGULATION_OF_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	1.4734194	0.46740916	1.3517294	0.51642275	1.3195821	0.3985235	1.0813003	0.48776603
GOBP_HYDROGEN_PEROXIDE_METABOLIC_PROCESS	1.4731855	0.4671864	1.2026914	0.6454592	1.1832781	0.5407419	1.1763672	0.36825708
GOBP_EAR_DEVELOPMENT	1.4729959	0.4667809	1.2851356	0.57925004	1.5237372	0.20104614	1.6390792	0.042979866
GOBP_METENCEPHALON_DEVELOPMENT	1.4729577	0.46582937	1.1431143	0.69165134	1.2556764	0.4630777	1.6036739	0.055388495
GOBP_RENAL_SODIUM_ION_ABSORPTION	1.4726804	0.46574506	1.2820756	0.5803692	0.8879658	0.8852951	1.1909257	0.35241577
GOBP_BILE_ACID_SECRETION	1.4725164	0.4652715	1.4413944	0.45816022	1.3635587	0.35348603	1.2399153	0.30302912
GOBP_NEGATIVE_REGULATION_OF_MITOCHONDRIAL_FISSION	1.4724066	0.4646209	0.90578604	0.9048515	0.8869955	0.88496995	1.1524549	0.3962418
GOBP_NEURAL_CREST_CELL_MIGRATION_INVOLVED_IN_AUTONOMIC_NERVOUS_SYSTEM_DEVELOPMENT	1.4720328	0.46489406	1.479254	0.43281668	1.4025811	0.32073343	1.3725344	0.18702364
GOBP_SOMATOSTATIN_SECRETION	1.4719502	0.46412423	1.3781006	0.50324816	1.1247762	0.61464053	0.982894	0.6270589
GOBP_CELL_CYCLE_PHASE	1.4718989	0.4632334	0.9401515	0.8795837	1.1863766	0.53832746	-1.150755	0.6177831
GOBP_HISTONE_H2A_ACETYLATION	1.4717003	0.4628829	1.0886644	0.75349414	1.097973	0.64567745	1.0578259	0.5194969
GOBP_NEGATIVE_REGULATION_OF_SCHWANN_CELL_PROLIFERATION	1.4712554	0.46342796	1.2808913	0.581008	1.3045557	0.412465	1.403273	0.16309012
GOBP_LENS_DEVELOPMENT_IN_CAMERA_TYPE_EYE	1.4711839	0.46263447	1.3701845	0.5077638	1.4975138	0.22253568	1.7330449	0.020763975
GOBP_POSITIVE_REGULATION_OF_CELLULAR_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA_STIMULUS	1.4711703	0.46163025	1.6091838	0.3037638	1.6709604	0.09548099	1.9265581	0.002863587
GOBP_REGULATION_OF_NUCLEOTIDE_EXCISION_REPAIR	1.4704453	0.46321234	1.2516514	0.60244733	1.3548111	0.36376038	1.2055384	0.33764374
GOBP_RESPONSE_TO_INSECTICIDE	1.4700792	0.46347636	1.4081496	0.48271537	1.4487187	0.2713666	1.6446481	0.041791722
GOBP_NEURAL_CREST_CELL_DIFFERENTIATION	1.4700508	0.4625294	1.4413564	0.45738494	1.5979226	0.14539774	1.8976861	0.004132247
GOBP_NEGATIVE_REGULATION_OF_GLYCOLYTIC_PROCESS	1.4686439	0.46662182	1.2423062	0.6117087	0.9090657	0.86924255	0.8329188	0.83006424
GOBP_TRIGEMINAL_NERVE_MORPHOGENESIS	1.4674467	0.4699597	1.3273745	0.534264	1.3789229	0.33412883	1.4585903	0.1258819
GOBP_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_SIGNALING_PATHWAY	1.4673502	0.46924746	1.4641502	0.4528496	1.521249	0.20208617	1.7765819	0.014423781
GOBP_NATURAL_KILLER_CELL_CYTOKINE_PRODUCTION	1.4669396	0.46969005	1.5338162	0.37559402	1.3973112	0.32403982	1.427362	0.14589822
GOBP_EMBRYONIC_CRANIAL_SKELETON_MORPHOGENESIS	1.4663101	0.47092196	1.4357556	0.46675503	1.6921923	0.0913973	2.0168262	0.0008904865
GOBP_OSTEOCLAST_PROLIFERATION	1.466039	0.47086275	1.3634431	0.51179695	1.2594888	0.4579874	1.3075517	0.24128197
GOBP_5_PHOSPHORIBOSE_1_DIPHOSPHATE_METABOLIC_PROCESS	1.4658023	0.47064295	0.8757365	0.9217252	0.576456	0.99420965	-0.9535978	0.85876596
GOBP_DEVELOPMENTAL_GROWTH_INVOLVED_IN_MORPHOGENESIS	1.4641279	0.47570327	1.205089	0.6426428	1.2854356	0.43073165	1.8631881	0.00602909
GOBP_REGULATION_OF_ORGAN_GROWTH	1.4640894	0.47478038	1.4722866	0.43968356	1.578403	0.15584004	1.843451	0.0074409745
GOBP_POSITIVE_REGULATION_OF_CD8_POSITIVE_ALPHA_BETA_T_CELL_PROLIFERATION	1.4626946	0.47884533	1.5316007	0.37861356	1.3851743	0.3317058	1.4288163	0.1452927
GOBP_NEURON_FATE_SPECIFICATION	1.4626663	0.47789195	1.1572186	0.6869126	1.1946269	0.52807224	1.0257307	0.565939
GOBP_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT	1.4625348	0.47730088	1.3110635	0.5437103	1.3115617	0.4076555	1.8836281	0.004790195
GOBP_CEREBRAL_CORTEX_REGIONALIZATION	1.4619395	0.47843295	1.2396213	0.6140255	1.1364883	0.59853464	1.2987478	0.25037315
GOBP_NECROPTOTIC_SIGNALING_PATHWAY	1.4617238	0.47818163	1.2291116	0.6206478	1.482475	0.2346868	1.6063223	0.05442917
GOBP_SENSORY_PERCEPTION_OF_TEMPERATURE_STIMULUS	1.4612151	0.47902608	0.8571901	0.931834	1.3242064	0.3947466	1.5434922	0.08101618
GOBP_HYPOTHALAMUS_GONADOTROPHIN_RELEASING_HORMONE_NEURON_DIFFERENTIATION	1.4607071	0.4798539	1.3949418	0.48903978	1.4095411	0.31330726	1.4644024	0.12305308
GOBP_SYMPATHETIC_NEURON_AXON_GUIDANCE	1.460233	0.48053414	1.2643698	0.5945824	0.7312261	0.96220267	1.460922	0.12470324
GOBP_DORSAL_SPINAL_CORD_DEVELOPMENT	1.4594519	0.48239273	1.4852796	0.43061888	1.5085506	0.21430445	1.5586553	0.07426735
GOBP_VESTIBULOCOCHLEAR_NERVE_MORPHOGENESIS	1.4590231	0.4829453	1.3897762	0.48910153	1.3655503	0.35171646	1.2767404	0.26973143
GOBP_REGULATION_OF_MUSCLE_CELL_DIFFERENTIATION	1.458872	0.48248067	1.5578451	0.36731148	1.6834551	0.09367927	2.0146594	0.000914397
GOBP_POSITIVE_REGULATION_OF_MESENCHYMAL_CELL_PROLIFERATION	1.4588307	0.48159063	1.4643507	0.4531445	1.4560568	0.26609874	1.4896305	0.10828357
GOBP_ATRIAL_CARDIAC_MUSCLE_TISSUE_MORPHOGENESIS	1.4587417	0.48087254	1.5797025	0.33410254	1.5948007	0.1463203	1.6363567	0.04377936
GOBP_NEGATIVE_REGULATION_OF_GLUCOSE_IMPORT	1.4584631	0.48084512	1.4072577	0.48376933	1.2160034	0.50464225	1.3097639	0.23938698
GOBP_NEGATIVE_REGULATION_OF_T_HELPER_1_TYPE_IMMUNE_RESPONSE	1.4582505	0.48060173	1.2442054	0.6098079	1.3968902	0.32453474	1.3188382	0.23151796
GOBP_CELLULAR_RESPONSE_TO_HYDROGEN_PEROXIDE	1.4579356	0.48072296	0.9659908	0.85676455	1.0275391	0.73645437	1.5391669	0.082811825
GOBP_REGULATION_OF_ENDOSOME_SIZE	1.4575675	0.4810573	1.0070229	0.8318167	1.0040237	0.7678034	1.3782731	0.18216905
GOBP_REGULATION_OF_NUCLEOTIDE_BINDING_OLIGOMERIZATION_DOMAIN_CONTAINING_1_SIGNALING_PATHWAY	1.4571521	0.48154935	1.1094885	0.72865874	0.95412683	0.8227045	0.9967424	0.60834974
GOBP_POSITIVE_REGULATION_OF_ENDOTHELIAL_CELL_MIGRATION	1.4570224	0.48099512	1.5553576	0.36664158	1.7534603	0.07009933	2.42425	0.0
GOBP_POSITIVE_REGULATION_OF_CHEMOTAXIS	1.4564931	0.4819051	1.1384383	0.6971937	1.2378602	0.48151365	1.808288	0.010586568
GOBP_GLUTAMINE_FAMILY_AMINO_ACID_BIOSYNTHETIC_PROCESS	1.4564723	0.4809566	1.0780355	0.7591575	0.9304741	0.8464465	-0.7165244	0.98524827
GOBP_POSITIVE_REGULATION_OF_OXIDATIVE_PHOSPHORYLATION	1.4564261	0.48010308	1.2975081	0.5613435	-0.94612944	0.8778411	-0.6427415	0.98938173
GOBP_LYMPHOCYTE_MIGRATION_INTO_LYMPHOID_ORGANS	1.4563578	0.47932354	1.5438026	0.3743686	1.529361	0.19814496	1.5350275	0.084880166
GOBP_REGULATION_OF_T_HELPER_CELL_DIFFERENTIATION	1.4560891	0.47928804	1.222489	0.6282441	1.4228164	0.3061216	1.6751592	0.033557314
GOBP_ANTIFUNGAL_INNATE_IMMUNE_RESPONSE	1.4553287	0.4810374	1.2692226	0.5890279	0.8194957	0.927662	-1.1369493	0.62867224
GOBP_PROTEIN_LOCALIZATION_TO_CELL_LEADING_EDGE	1.4551616	0.4806363	1.5450103	0.3761837	1.1274314	0.610812	1.2779448	0.26887447
GOBP_ACID_SECRETION	1.4546452	0.48151705	1.2954614	0.5658207	1.3321427	0.3871318	1.327864	0.22402707
GOBP_POSITIVE_REGULATION_OF_CALCIUM_MEDIATED_SIGNALING	1.454265	0.48189092	0.9490961	0.871923	0.903588	0.8738147	0.8098456	0.85366863
GOBP_REGULATION_OF_FEMALE_RECEPTIVITY	1.4542091	0.48107883	1.0955881	0.74698484	1.4036227	0.31989413	1.2868165	0.26108566
GOBP_POSITIVE_REGULATION_OF_CARDIAC_MUSCLE_CELL_PROLIFERATION	1.4535991	0.48231494	1.3839163	0.49548241	1.539309	0.18879631	1.6172674	0.050298452
GOBP_FAT_SOLUBLE_VITAMIN_METABOLIC_PROCESS	1.4533901	0.48207808	1.6353941	0.2526334	1.6693674	0.09408477	1.5158918	0.09472011
GOBP_TRUNK_SEGMENTATION	1.4531746	0.48185742	1.3633043	0.5116753	1.28438	0.43197876	1.4850556	0.11061921
GOBP_MONOAMINE_TRANSPORT	1.4529834	0.4815514	1.2183733	0.629994	1.4940723	0.22684783	1.8964373	0.0042111906
GOBP_CAMKK_AMPK_SIGNALING_CASCADE	1.4528472	0.48105818	1.579542	0.3327172	1.4997509	0.22093974	1.6371033	0.043587405
GOBP_CELL_MATURATION	1.4523046	0.48200503	1.3780912	0.5026141	1.6968423	0.09178241	2.043498	0.0006096722
GOBP_PROSTATE_GLANDULAR_ACINUS_DEVELOPMENT	1.4520736	0.4818411	1.266488	0.5916857	1.2705971	0.44488376	1.1209363	0.43601337
GOBP_HEAD_DEVELOPMENT	1.4515593	0.48272294	1.2158537	0.63116884	1.4260892	0.3042316	1.9901943	0.0012661031
GOBP_POSITIVE_REGULATION_OF_GLYCOGEN_METABOLIC_PROCESS	1.4513389	0.48255634	1.2368665	0.6173652	0.82094574	0.9273077	1.1456807	0.40496445
GOBP_METANEPHRIC_MESENCHYME_DEVELOPMENT	1.4509925	0.48280746	1.4896783	0.43360358	1.3061723	0.41001627	1.1936495	0.34975523
GOBP_REGULATION_OF_BRANCHING_INVOLVED_IN_SALIVARY_GLAND_MORPHOGENESIS_BY_MESENCHYMAL_EPITHELIAL_SIGNALING	1.450744	0.4827003	1.2786156	0.58291554	0.87082744	0.8980119	-0.96878225	0.84298414
GOBP_ACTIVATION_OF_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_KINASE_ACTIVITY	1.4504073	0.48295474	1.3801324	0.4978291	1.2527179	0.46595573	1.2470341	0.29608414
GOBP_RESPONSE_TO_INORGANIC_SUBSTANCE	1.4499625	0.48360613	1.2957585	0.5653062	1.477094	0.24108793	1.9170749	0.0031855884
GOBP_SYNAPTIC_VESICLE_MATURATION	1.4497393	0.48342183	1.0018809	0.832831	0.8707591	0.8979209	1.5736221	0.067361586
GOBP_SPECIFICATION_OF_ANIMAL_ORGAN_IDENTITY	1.4494208	0.4836207	1.5439674	0.3753607	1.732	0.08041827	1.5170037	0.09419582
GOBP_REGULATION_OF_ANATOMICAL_STRUCTURE_MORPHOGENESIS	1.4486319	0.48552746	1.3160635	0.54546297	1.3932596	0.32673195	2.0906808	0.00032629346
GOBP_AZOLE_TRANSMEMBRANE_TRANSPORT	1.4485745	0.48475304	1.3497802	0.51682967	0.78592855	0.9402871	-0.95643353	0.8544088
GOBP_RESPONSE_TO_REACTIVE_OXYGEN_SPECIES	1.4483541	0.48456708	1.2377354	0.61625683	1.340676	0.37954366	1.6097667	0.053334195
GOBP_CELLULAR_RESPONSE_TO_CALCIUM_ION	1.4480424	0.4847358	1.5878173	0.3376842	1.7039139	0.08766009	1.9540261	0.0019827953
GOBP_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS	1.4479611	0.48406172	1.6962686	0.24193667	1.3358388	0.38315955	1.3056338	0.24335463
GOBP_POSITIVE_REGULATION_OF_CATION_TRANSMEMBRANE_TRANSPORT	1.4474866	0.4848294	1.1021074	0.7367832	1.2854949	0.430825	1.8523008	0.0067540617
GOBP_RESPONSE_TO_ALKALOID	1.4472402	0.48475748	0.96799874	0.8550771	1.1891061	0.5342099	1.5552149	0.075608805
GOBP_DETECTION_OF_TEMPERATURE_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION_OF_PAIN	1.4467376	0.485596	0.8212929	0.9518655	0.9332625	0.8444528	1.3134879	0.23685208
GOBP_NEPHRON_EPITHELIUM_DEVELOPMENT	1.446393	0.485872	1.5091583	0.40802953	1.6250122	0.13046917	2.121485	0.00021165579
GOBP_NUCLEOTIDE_BINDING_OLIGOMERIZATION_DOMAIN_CONTAINING_2_SIGNALING_PATHWAY	1.4462107	0.48555386	1.3130997	0.5468941	1.2179455	0.501477	1.5494654	0.07837455
GOBP_CELL_QUIESCENCE	1.445864	0.48584154	1.1989938	0.64959484	1.4869153	0.23154257	1.3641622	0.19430198
GOBP_PATTERN_SPECIFICATION_PROCESS	1.4448928	0.48838058	1.5911145	0.33110774	1.7438632	0.07472092	1.9894469	0.0012730197
GOBP_STEROID_METABOLIC_PROCESS	1.4444494	0.48902717	1.3471286	0.5185068	1.4528695	0.26863018	1.4445229	0.13512431
GOBP_REGULATION_OF_HORMONE_METABOLIC_PROCESS	1.4444453	0.48807788	1.4131705	0.48411122	1.5171907	0.20593327	1.6692488	0.035310023
GOBP_REGULATION_OF_GLYCOGEN_METABOLIC_PROCESS	1.4440068	0.4886925	1.3205403	0.54152685	0.8579388	0.9056967	0.99037814	0.61648923
GOBP_POSITIVE_REGULATION_OF_RECEPTOR_RECYCLING	1.4439377	0.4879763	1.5103282	0.40454707	1.4975882	0.22270519	1.931955	0.0027013428
GOBP_REGULATION_OF_LYSOSOME_SIZE	1.4438545	0.48731756	0.981912	0.8438356	0.93688387	0.8402103	1.1534249	0.39549378
GOBP_EPITHELIAL_TUBE_BRANCHING_INVOLVED_IN_LUNG_MORPHOGENESIS	1.4438155	0.48650882	1.1442548	0.6926788	1.3489267	0.37096184	1.4740945	0.11691319
GOBP_MESENCHYMAL_EPITHELIAL_CELL_SIGNALING	1.4437524	0.4857841	1.2794102	0.5826553	0.8656785	0.9009552	-0.97930104	0.8276907
GOBP_PHENOTYPIC_SWITCHING	1.4431612	0.4869485	0.9540809	0.86781895	0.93790525	0.83932406	1.3326434	0.22024256
GOBP_ANTIBACTERIAL_INNATE_IMMUNE_RESPONSE	1.4429884	0.48661438	1.322416	0.5408546	0.52248555	0.99879223	0.9631103	0.65356606
GOBP_REGULATION_OF_MUSCLE_TISSUE_DEVELOPMENT	1.4427135	0.48667607	1.4214947	0.46984944	1.3520099	0.3668621	1.7525533	0.017532827
GOBP_NEGATIVE_REGULATION_OF_SYNAPSE_ASSEMBLY	1.4426594	0.4859343	1.5283958	0.38426057	1.5924778	0.14621677	1.3567387	0.20053488
GOBP_POSITIVE_REGULATION_OF_STRIATED_MUSCLE_CELL_DIFFERENTIATION	1.4424869	0.4856242	1.5364012	0.38535336	1.8090074	0.04530389	2.1398664	0.00018056907
GOBP_MESENCHYMAL_CELL_DIFFERENTIATION_INVOLVED_IN_KIDNEY_DEVELOPMENT	1.4424062	0.4849736	1.4343948	0.4676207	1.4122812	0.31403783	1.2939658	0.25473374
GOBP_REGULATION_OF_MYELOID_LEUKOCYTE_MEDIATED_IMMUNITY	1.4418329	0.48610842	1.4778969	0.43145233	1.381156	0.3356891	1.501535	0.10234034
GOBP_POSITIVE_REGULATION_OF_SECONDARY_METABOLITE_BIOSYNTHETIC_PROCESS	1.4417901	0.4853308	1.4092262	0.48409024	1.0447325	0.7127335	1.2930217	0.25546467
GOBP_CELL_ADHESION_MEDIATED_BY_INTEGRIN	1.4415321	0.48533058	1.550918	0.3724946	1.8124645	0.04625983	2.2529552	3.2882945e-05
GOBP_HIPPOCAMPUS_DEVELOPMENT	1.4413216	0.4851772	1.3696214	0.5078796	1.4616532	0.25714815	1.728769	0.02172435
GOBP_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE	1.4411052	0.4850067	1.6569389	0.23533237	1.3996665	0.32278195	1.4320487	0.14344373
GOBP_MITOCHONDRIAL_FRAGMENTATION_INVOLVED_IN_APOPTOTIC_PROCESS	1.4410539	0.48426723	1.1146361	0.72516465	0.9461188	0.8306453	1.2379512	0.30483666
GOBP_SKELETAL_MUSCLE_SATELLITE_CELL_MAINTENANCE_INVOLVED_IN_SKELETAL_MUSCLE_REGENERATION	1.4404849	0.48533702	1.2743388	0.58779186	1.273717	0.44257826	1.341757	0.21227576
GOBP_POLYSACCHARIDE_BIOSYNTHETIC_PROCESS	1.4399651	0.48628524	1.2221701	0.62803686	0.9147027	0.8616309	0.981402	0.6293881
GOBP_POSITIVE_REGULATION_OF_ENDOTHELIAL_CELL_DIFFERENTIATION	1.4396727	0.48640603	1.3375136	0.5253457	1.2373158	0.48267218	1.0282246	0.56186754
GOBP_SKIN_DEVELOPMENT	1.4394038	0.48644596	1.5821738	0.33869588	1.5454175	0.1829552	2.386869	0.0
GOBP_PYRUVATE_TRANSPORT	1.4393581	0.48570284	1.3603162	0.51243454	0.7689601	0.94727844	-0.693939	0.9842233
GOBP_KIDNEY_MORPHOGENESIS	1.4393152	0.48494557	1.6397356	0.2521652	1.6699274	0.09487258	2.0977795	0.00030627009
GOBP_CELL_PART_MORPHOGENESIS	1.4390869	0.48484597	1.2022027	0.6454288	1.3783337	0.3342306	2.1235435	0.00020247555
GOBP_SKELETAL_MUSCLE_THIN_FILAMENT_ASSEMBLY	1.4388456	0.4848027	1.0766971	0.7598921	1.207784	0.5123468	1.4301863	0.14458749
GOBP_GROOMING_BEHAVIOR	1.4387467	0.4842513	1.3826493	0.49535918	1.1891539	0.5345313	1.4397345	0.13851172
GOBP_DEVELOPMENTAL_CELL_GROWTH	1.4386646	0.48365417	1.1529875	0.6881034	1.2419739	0.47837782	1.8687967	0.0056653176
GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_OXIDATIVE_STRESS	1.4378648	0.48559287	1.022163	0.8164475	0.9613614	0.814707	1.336215	0.21660896
GOBP_REGULATION_OF_TYPE_2_IMMUNE_RESPONSE	1.4378067	0.48489177	1.3275284	0.5342681	1.6038032	0.14155109	1.6797245	0.03231546
GOBP_HYPOTHALAMUS_CELL_DIFFERENTIATION	1.4375923	0.48474988	1.2696705	0.5889128	1.2913296	0.4246425	1.4814497	0.1127641
GOBP_NEGATIVE_REGULATION_OF_APOPTOTIC_PROCESS_INVOLVED_IN_DEVELOPMENT	1.437121	0.48552275	1.5495377	0.3712749	1.357647	0.359526	1.2720841	0.2740745
GOBP_REGULATION_OF_TESTOSTERONE_BIOSYNTHETIC_PROCESS	1.435972	0.48873743	1.5018722	0.4191826	1.5490484	0.17964329	1.55739	0.07459344
GOBP_NEGATIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION_GABAERGIC	1.4351481	0.4907556	0.8982769	0.9075579	-0.77127147	0.95061034	0.80920935	0.85429335
GOBP_REGULATION_OF_REGULATED_SECRETORY_PATHWAY	1.4349046	0.4907166	1.3687104	0.5092515	1.503995	0.21735607	1.8955398	0.0042513916
GOBP_CELL_PROLIFERATION_INVOLVED_IN_METANEPHROS_DEVELOPMENT	1.434819	0.49011976	1.2222768	0.6281001	1.0981231	0.6455092	1.3556957	0.20106927
GOBP_NEPHRON_DEVELOPMENT	1.43479	0.48931187	1.4091152	0.48371264	1.5771338	0.15583886	2.0609999	0.0004924551
GOBP_POSITIVE_REGULATION_OF_TRANSPORTER_ACTIVITY	1.4333211	0.49358293	1.3311307	0.5298981	1.4655731	0.25499725	1.8421949	0.0075037214
GOBP_NEGATIVE_REGULATION_OF_T_CELL_MIGRATION	1.4332691	0.49285433	1.4684058	0.44993174	0.8957864	0.88013506	-1.1774694	0.5891704
GOBP_RESPONSE_TO_ATP	1.4332527	0.49201402	1.6870208	0.24692923	1.5329862	0.19531919	1.5009718	0.10259167
GOBP_COPULATION	1.4328359	0.49259573	1.3652222	0.5110569	1.5340016	0.19505322	1.5914695	0.05990726
GOBP_NEGATIVE_REGULATION_OF_AMYLOID_BETA_CLEARANCE	1.4315661	0.49622905	1.4219583	0.46966302	1.1145359	0.6293417	1.2096057	0.333139
GOBP_HYPOTHALAMUS_DEVELOPMENT	1.4315318	0.49545184	1.6015546	0.3217069	1.5600803	0.17151485	1.5125495	0.09643375
GOBP_REGULATION_OF_INTRACELLULAR_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY	1.4314733	0.49476445	0.8537575	0.93372023	0.790405	0.93916786	-0.5528263	0.99863535
GOBP_REGULATION_OF_POLYSACCHARIDE_BIOSYNTHETIC_PROCESS	1.4310902	0.4952219	1.3181285	0.54303616	1.0765359	0.6719481	1.219201	0.3239868
GOBP_ENTERIC_NERVOUS_SYSTEM_DEVELOPMENT	1.4309618	0.49476957	1.6684078	0.23531939	1.6779032	0.09441465	1.6125146	0.05228417
GOBP_CEREBRAL_CORTEX_CELL_MIGRATION	1.4306632	0.4949314	1.06191	0.77421826	1.1282351	0.61026716	1.5227547	0.09075545
GOBP_POSITIVE_REGULATION_OF_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT	1.4303644	0.49509183	1.1986275	0.64918154	1.412807	0.31489092	1.9086963	0.0035918618
GOBP_PHASIC_SMOOTH_MUSCLE_CONTRACTION	1.4299504	0.4956588	0.92407364	0.8906579	0.8096301	0.9309838	1.0511578	0.52922547
GOBP_TRIF_DEPENDENT_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	1.4296075	0.4959679	1.4465249	0.45656797	1.3171597	0.39995256	-0.87619185	0.9188934
GOBP_POSITIVE_REGULATION_OF_CD4_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION	1.4291632	0.49666545	1.4562277	0.45957917	1.6629539	0.099602	1.9244096	0.0029299476
GOBP_RENAL_TUBULE_MORPHOGENESIS	1.4291354	0.49587345	1.5843134	0.33643237	1.7135426	0.083666414	2.1775775	9.026863e-05
GOBP_BEHAVIOR	1.4288068	0.49615616	1.1737096	0.6726706	1.4307363	0.29956943	1.9123732	0.0034117168
GOBP_NEGATIVE_REGULATION_OF_CARDIOCYTE_DIFFERENTIATION	1.428364	0.49682948	1.5441809	0.37619165	1.7639086	0.06416014	1.8918601	0.0044212895
GOBP_POSITIVE_REGULATION_OF_SMOOTHENED_SIGNALING_PATHWAY	1.4279417	0.49744532	0.9649065	0.85807526	1.2921602	0.42373872	1.5150316	0.09513536
GOBP_MUSCLE_TISSUE_DEVELOPMENT	1.427881	0.4967754	1.4455737	0.45651537	1.5495547	0.17938247	2.0853958	0.000344931
GOBP_POSITIVE_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT	1.4277407	0.49639708	1.1420156	0.6915465	1.1504438	0.5835939	1.6372815	0.043544397
GOBP_REGULATION_OF_MORPHOGENESIS_OF_AN_EPITHELIUM	1.4276316	0.49591678	1.5247661	0.38160905	1.4963803	0.22403792	1.4414057	0.13712253
GOBP_CELL_PROLIFERATION_IN_MIDBRAIN	1.427502	0.49551067	1.0946225	0.7478869	1.3472037	0.37295523	1.2685736	0.27639526
GOBP_SEMAPHORIN_PLEXIN_SIGNALING_PATHWAY	1.4273431	0.49520776	0.95386046	0.8678065	1.310241	0.40753928	1.9244039	0.0029220264
GOBP_LUTEINIZATION	1.426863	0.49607122	1.4839112	0.43381605	1.4225545	0.30614534	1.3704039	0.18898731
GOBP_NEGATIVE_REGULATION_OF_T_HELPER_CELL_DIFFERENTIATION	1.4268013	0.4954235	1.3175102	0.5430897	1.4659379	0.25446346	1.5612361	0.07302027
GOBP_SECRETORY_GRANULE_LOCALIZATION	1.4261156	0.49699885	0.7216367	0.98650736	0.8255344	0.92560506	1.0836395	0.4849744
GOBP_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	1.426089	0.49622366	1.5066609	0.41151375	1.6938301	0.09401974	1.5424186	0.08158545
GOBP_FOREBRAIN_NEURON_DIFFERENTIATION	1.4259913	0.4956874	1.3833872	0.49535435	1.5336964	0.19531016	1.5517278	0.07733055
GOBP_CELL_PROLIFERATION_IN_BONE_MARROW	1.4259661	0.49491465	1.3579451	0.5160393	1.2117554	0.5083055	1.4738711	0.11706409
GOBP_HEART_MORPHOGENESIS	1.425871	0.49440104	1.4914882	0.4311997	1.7284309	0.07867171	2.326745	0.0
GOBP_RENAL_TUBULE_DEVELOPMENT	1.4257323	0.49402937	1.5185282	0.39436686	1.6672674	0.095488966	2.0836806	0.0003515393
GOBP_CELL_MORPHOGENESIS	1.4254717	0.49411988	1.211072	0.63757044	1.379823	0.3359972	2.1833882	7.596887e-05
GOBP_REGULATION_OF_SMOOTH_MUSCLE_CELL_MATRIX_ADHESION	1.4251219	0.49447253	1.34955	0.5158843	1.3127625	0.40630656	1.1417259	0.41041356
GOBP_NEGATIVE_REGULATION_OF_FIBROBLAST_MIGRATION	1.4249338	0.49429423	1.4569392	0.45880166	1.2131283	0.5072492	1.124604	0.43125272
GOBP_REGULATION_OF_EXTENT_OF_CELL_GROWTH	1.424813	0.49384636	1.2455621	0.610582	1.1785241	0.54829156	1.7620085	0.016311115
GOBP_POSITIVE_REGULATION_OF_LAMELLIPODIUM_MORPHOGENESIS	1.4242526	0.4949505	0.49944803	0.9998238	-1.3074958	0.60449064	1.097803	0.46649352
GOBP_HINDBRAIN_DEVELOPMENT	1.4235395	0.49657857	1.0852998	0.7563214	1.2894032	0.42591727	1.7527953	0.017528765
